AID,AName,Description,Benefits,Contraindications,Breathing,awareness,You tube Vdo link,Photo,References,Variations,Level
117,Sirsha Angustha Yogasana (head to toe pose),"Stand upright with the feet about two shoulder widths
apart.
Interlock the fingers behind the back with the palms up.
Keep the arms straight.
This is the starting position.
Twist the trunk to the right and turn the right foot slightly
out to the side.
Bend forward at the waist, stretching the arms up as high
as possible.
Bring the head down to the inside of the right foot.
Bend the right knee slightly to assume this position.
As the head comes closer to the foot, relax the shoulders,
keep the arms straight and allow them to fall forward.
Hold the position for as long as is comfortable.
To avoid overbalancing when raising the body, first raise
the head, straightening the neck and spine and lower the
arms on to the back. Straighten the leg a little, but keep
the knee bent and only straighten it once the torso is
upright, then re-centre the body.
Repeat on the other side.
This completes one round.
Practise a maximum of 5 rounds.","This asana stretches the hamstring, the thigh mus-
cles, the area between the shoulder blades, and provides a

lateral stretch to the body. It stimulates the nervous system
and the appetite, and helps to remove abdominal
complaints. It reduces excess weight around the waist.","This asana should not be practised by
people suffering from heart disease, high blood pressure,
back conditions such as slipped disc or sciatica. Cautions
for inverted postures apply.","Inhale while in the starting position and while
twisting.
Exhale while bending.
Retain the breath out while holding the position or breathe
normally breathing if holding the stretch for some time.
Inhale while raising the trunk and re-centering the body.","Physical - on the stretch in the leg muscles and
spine, shoulders and arms, on keeping the balance, and
on synchronizing the breath with the movement.
Spiritual - on manipura chakra.",,,,,Intermediate
118,Utthita Janu Sirshasana (standing head between knees pose),"Stand with the feet about shoulder width apart, arms beside
the body. This is the starting position.
Raise the arms in front of the body, level with the chest.
Bend forward from the hips and take the arms around the
outside of the legs. Either grasp one wrist or clasp the
hands behind the calves.
Bring the head towards the knees by slightly bending the
elbows and using the strength of the arm muscles to achieve
this. The legs should remain straight. Do not strain.
In the final position the trunk rests against the thighs and
the wrists or elbows are held behind the lower legs.
Hold the fmal position for as long as is comfortable.
Release the hands and slowly raise the body to the upright
position with the arms stretched out in front of the chest.
Lower the arms to the starting position.
Practise up to 5 rounds.","This asana stimulates the pancreas. It relaxes the
hip joints and stretches the hamstring muscles, massages
the spinal nerves and revitalizes the brain.","People with back conditions should not
practise this asana. Cautions for inverted postures apply.","Inhale while raising the arms in front of the chest.
Exhale fully before bending.
Retain the breath outside while bending forward and
holding the final position.
239

Inhale while returning to the upright position.
Exhale while lowering the arms.","Physical - on relaxing the back muscles and keep-
ing the legs straight, and on synchronizing the movement

with the breath,
Spiritual - on swadhisthana chakra.",,,,"Stand with the feet about shoulder width apart.
Bend foiWard from the hips and wrap the arms around the
back of the knees, bending the legs slightly. The arms
should be horizontal with the elbows pointing out to the
sides.
Keeping the legs bent, try to bring the hands foiWard in
between the legs and firmly interlock the fingers behind
the back of the neck. Relax the back muscles.
Slowly straighten the legs without letting the fingers slip
from behind the neck. Do not strain. The action of
straightening the legs will apply a strong leverage on the
neck and a frrm compression of the abdomen.
In the final position the head will face backward.
Hold the pose for a short duration.
Release the position by bending the knees and unclasping
the hands. Slowly return to the upright position.",Intermediate
119,Eka Padottanasana (one leg raised to head pose),"Sit with the legs outstretched.
Bend the right knee and place the foot flat on the floor in
front of the right buttock.
Fold the left leg, keeping the knee on the ground, and
place the heel under the perineum.
Interlock the fingers under the sole of the right foot.
This is the starting position.
Raise the right foot and straighten the knee. Keep the
spine straight.
Bring the knee to the nose.
Hold the pose for as long as is comfortable.
Bend the knee and lower the foot to the floor.
Practise a maximum of 5 times.
Repeat on the other side.","This asana renders the hamstring muscles and hip
joints flexible. It tones the adrenals and reproductive
system.","People with back complaints or a dis-
placed coccyx should not practise this asana.","Inhale in the starting position.
Retain the breath in while raising and lowering the leg.
Retain the breath in the final position or breathe normally
if held for an extended duration.
Exhale in the starting position.","Physical - on relaxation of the muscles of the
straight leg, particularly the hamstrings.
Spiritual - on manipura chakra.",,,,,Intermediate
120,Meru Wakrasana (spinal twist),"Sit with the legs outstretched.
Turn the trunk slightly to the right and place the right
hand behind the body, dose to the left buttock, with the
fingers pointing backward.
Place the left hand behind and slightly to the side of the
right buttock, as dose as possible to the right hand.
Bend the left knee and place the foot outside the right
knee. Twist the head and trunk as far to the right as is
comfortable, using the arms as levers, while keeping the
spine upright and straight.
The buttocks should remain on the floor. The right elbow
may bend a little.
Hold the final position, relaxing the back. Look over the
right shoulder as far as possible without straining.
Re-centre the trunk and relax for a few seconds.
Practise up to 5 times and then repeat on the other side.","Meru wakrasana stretches the spine, loosening the
vertebrae and toning the nerves. It alleviates backache,
neck pain, lumbago and mild forms of sciatica. It is a good
asana for beginners, preparing the back for the more
difficult spinal twists.",,"Inhale deeply, exhale while twisting.
Retain the breath outside, or breathe normally if holding
the pose.
Inhale while re-centring.","Physical - on the twist and relaxation of the spine,
and on breath awareness in the final position.
Spiritual - on manipura chakra.",,,,,Intermediate
121,Bhu Namanasana (spinal twist prostration pose),"Sit with the spine erect and the legs outstretched.
Place the hands to the side of the right hip.
Move the right hand back slightly further behind the body
with the fingers pointing backward.
Twist the trunk 90 degrees to the right, using the arms and
shoulders as levers. Slowly bend the torso and bring the
forehead to the floor, close to the hand placed behind
the body. The spine should be as straight as possible.
Try to keep both buttocks on the floor.
Hold the final position for a short time.
Slowly raise and return to the starting position.
Repeat the movement on the other side. This completes
one round.
Practise up to 5 rounds.","This asana stretches the spine and lower back, making
the muscles supple and stimulating the nerves.","People with back problems, peptic ulcer,
hernia, hyperthyroidism, high blood pressure or heart
problems should not practise this asana.","Inhale while facing forward.
Retain the breath in while twisting.
Exhale while bending.
Retain the breath out in the final position or breathe
normally if holding the asana for some time.
Inhale while raising the trunk.
Exhale while re-centring the body.","Physical - on relaxation of the back and on the
breath.
Spiritual - on manipura chakra.",,,,,Intermediate
122,Ardha Matsyendrasana (half spinal twist),"Sit with the legs stretched out in front of the body.
Bend the right leg and place the right foot flat on the floor
on the outside of the left knee.
The toes of the right foot should face forward.
Bend the left leg and bring the foot around to the right
buttock. The outside edge of the foot should be in contact
with the floor.
Pass the left arm through the space between the chest and
the right knee, and place it against the outside of the right
leg.
Hold the right foot or ankle with the left hand so that the
right knee is close to the left armpit.
Sit up as straight as possible.
Raise the right arm in front of the body and gaze at the
fingertips.
Slowly twist to the right, simultaneously moving the arm,
trunk and head.
Use the left arm as a lever against the right leg to twist the
trunk as far as possible without using the back muscles.
Follow the tips of the fingers of the right hand with the
gaze and look over the right shoulder.
Do not strain the back.
Bend the right elbow and place the ann around the back
of the waist.
The back of the right hand should wrap around the left
side of the waist.
Alternatively, it can be placed as high as possible between
the shoulder blades with the fingers pointing up. This ann
position enforces the straightness of the spine.
Reverse the movements to come out of the posture and
repeat on the other side.","This asana simultaneously stretches the muscles on
one side of the back and abdomen while contracting the
muscles on the other side.
It tones the nerves of the spine, makes the back muscles

supple, relieves lumbago and musrular spasms, and re-
duces the tendency of adjoining vertebrae to develop

inflammatory problems and calcium deposits. It massages
the abdominal organs, alleviating digestive ailments. It
regulates the secretions of the adrenal gland, liver and
pancreas, and is beneficial for the kidneys.","Pregnant women should avoid this
practice. People suffering from peptic ulcer, hernia or
hyperthyroidism should only practise this pose under the
guidance of a competent teacher.
People with sciatica or slipped disc should not practise it.","Inhale in the forward position.
Exhale while twisting the trunk.
Breathe deeply and slowly without strain in the final
position.
Inhale while returning to the starting position.","Physical - on keeping the spine straight, and on
the movement of the abdomen created by the breath in
the final position.
Spiritual - on ajna chakra.",,,,"For beginners and those with stiff bodies or bulky
thighs, instead of bending one leg and placing its foot by
the side of the buttock, that leg can remain straight. Also,
instead of one hand holding the ankle, wrap the arm
around the thigh, hugging the knee to the chest.",Intermediate
123,Parivritti Janu Sirshasana (spiralled head to knee pose),"Sit with the legs about a metre apart.
Bend the left knee and place the heel against the perineum.
Bend forward, inclining the body to the right to hold the
right foot with the right hand.
The fingers should be in contact with the arch of the foot
and the thumb should be on top.
Place the elbow on the floor on the inside of the straight
leg.
Move the right shoulder down towards the right leg.
Bring the left arm over the head and grasp the right foot
with the left hand.
Contracting the arms, slowly pull the right shoulder towards
the right foot.
Ease the head under the left arm, relax the back and twist
the trunk as much as possible so that the chest is open and
facing forward.
Hold the pose for a comfortable length of time.
Release the hands, raising the left arm over the head,","This asana gives a lateral stretch to the body, and
also stretches the hamstrings and behind the shoulders. It
gives a beneficial compression of the abdominal muscles
and organs on one side of the body and simultaneously
stretches them on the other side. It prepares the body for
long hours of sitting in meditation asanas.","Pregnant women or people with back
complaints should not perform this practice.","Breathe normally while positioning the legs.
Exhale while inclining the trunk and placing the arms and
hands into position, then inhale.
Exhale while pulling the body sideways.
Breathe normally while holding the final position.
Inhale while returning to the upright position.","Physical - on the twist and stretch of the body.
Spiritual - on manipura chakra.",,,,,Intermediate
124,Bhumi Pada Mastakasana (half headstand),"Assume matjari-asana.
Tum the toes under.
Place the crown of the head on the floor between the
hands. Straighten the knees and raise the buttocks,
balancing on the head and feet.
Bring the heels together and separate the toes.
Raise the arms and clasp the hands or take hold of one
wrist behind the back.
Come up onto the toes as high as possible.
Hold the final pose for as long as is comfortable.
Lower the arms and place the hands beside the head.
Slowly return to marjari-asana and then lower into
shashankasana for a few moments.
This is one round.
After completing the practice, lie in shavasana before
continuing with the counterpose.",,,Normal breathing.,"Physical - on the sensation at the crown of the
head, in the neck and spine, on the balance and breath.
Spiritual - on sahasrara chakra.",,,,,Intermediate
125,Vipareeta Karani Asana (inverted pose),"Lie flat on the back with the legs and feet together in a
straight line. Place the hands and arms close to the body
with the palms facing down.
Relax the whole body.
Raise both legs, keeping them straight and together.
Move the legs over the body towards the head.
Push down on the arms and hands, raising the buttocks.
Roll the spine from the floor, taking the legs further over
the head.
Turn the palms up, bend the elbows and let the top of the
hips rest on the base of the palms near the wrist. The
hands cup the hips and support the weight of the body.
Raise the legs to the vertical position and relax the feet.
In the final position, the weight of the body rests on the
shoulders, neck and elbows, the trunk is at a 45 degree
angle to the floor and the legs are vertical. Note that the
chin does not press firmly against the chest.
Close the eyes and relax in the final pose for as long as is
comfortable.
To return to the starting position, lower the legs over the
head, then place the arms and hands close to the body,
palms facing down.
Slowly lower the spine, vertebra by vertebra, along the
floor.
Do not lift the head.
When the buttocks reach the floor, lower the legs, keeping
them straight.
Relax the body in shavasana.",,,"Inhale while in the lying position.Retain the breath inside while assuming the final pose.
Once the body is steady in the final pose, practise normal
or ujjayi breathing.
Retain the breath inside while lowering the body to the
floor.",,,,,,Intermediate
126,Sarvangasana (shoulder stand pose),"Lie on the back on a folded blanket.
Check that the head and spine are aligned and that the
legs are straight with the feet together.
Place the hands beside the body with the palms facing
down.
Relax the entire body and mind.
Contract the abdominal muscles and, with the support of
the arms, slowly raise the legs to the vertical position,
keeping them straight.
When the legs are vertical, press the arms and hands down
on the floor.
Slowly and smoothly roll the buttocks and spine off the
floor, raising the trunk to a vertical position.
Turn the palms of the hands upward, bend the elbows and
place the hands behind the ribcage, slightly away from the
spine, to support the back. The elbows should be about
shoulder width apart.
Gently push the chest forward so that it presses firmly
against the chin.
In the final position, the legs are vertical, together and in
a straight line with the trunk. The body is supported by the
shoulders, nape of the neck and back of the head. The
arms provide stability, the chest rests against the chin and
the feet are relaxed.
Close the eyes. Relax the whole body in the final pose for
as long as is comfortable.
To return to the starting position, bring the legs forward
until the feet are above and behind the back of the head.
Keep the legs straight.
Slowly release the position of the hands and place the
arms on the floor beside the body with the palms down.
Gradually lower each vertebra to the floor, followed by the
buttocks, so that the legs resume their initial vertical
position.
Lower the legs to the floor slowly, keeping the knees
straight.
Perform this action without using the arms for support.
The whole movement should combine balance with control
so that the body contacts the floor slowly and gently.
Relax in shavasana until the respiration and heartbeat
return to normal.","This asana helps in cases of low blood pressure. It
balances the nervous system, strengthens the neck muscles
and brings a rich supply of blood to the brain. As a
preliminary pose to sirshasana, it accustoms the brain to
the increased influx of blood and the crown to supporting
the weight of the body.","People with high blood pressure, heart
conditions, inflammation of the ear, weak eye capillaries,
severe near-sightedness, problems in the pituitary or

thyroid glands, arteriosclerosis, cerebral or other throm-
bosis, severe asthma, tuberculosis, cold or sinusitis,

excessively impure blood, slipped disc, weak spine or
vertigo should not practise this asana.","Inhale in the starting position.
Retain the breath inside while assuming the final pose.
Practise slow, deep abdominal breathing in the final pose.
Retain the breath inside while lowering the body to the
floor.","Physical - on the various sensations of the body
adjusting to its inversion, on control of the movement, on",,,,,Intermediate
127,Moordhasana. (crown-based pose),"Stand erect with the feet about a metre apart.
Bend forward from the hips and place the hands in front
of the feet. The weight of the body should be evenly
distributed and supported by the limbs.
Stage I : Place the crown of the head on the floor between the
hands.
Raise the arms and take hold of one wrist behind the back.
Stage 2: Raise the heels and balance on the head and toes.
This is the final position.
Hold the position for as long as is comfortable.
Replace the hands and soles of the feet on the floor and
then return to the upright position.
Relax in the standing position until the body regains its
equilibrium.","This asana helps in cases of low blood pressure. It
balances the nervous system, strengthens the neck muscles
and brings a rich supply of blood to the brain. As a
preliminary pose to sirshasana, it accustoms the brain to
the increased influx of blood and the crown to supporting
the weight of the body.
the neck or thyroid gland, and on the breath.
Spiritual - on vishuddhi chakra.","People with high blood pressure, heart
conditions, inflammation of the ear, weak eye capillaries,
severe near-sightedness, problems in the pituitary or

thyroid glands, arteriosclerosis, cerebral or other thrombo-
sis, severe asthma, tuberculosis, cold or sinusitis, excessively

impure blood, slipped disc, weak spine or vertigo should
not practise this asana.","Inhale in the standing position.
Exhale while bending forward.
Breathe normally while holding the position.
Inhale while returning to the standing position.","Physical - on the sensation at the crown of the
head, in the neck and spine, on the balance, and on the
breath.
Spiritual - on sahasrara chakra.",,,,"Assume sarvangasana.
Exhale and lower one leg forward over the body until it is
horizontal to the floor. The other leg should be vertical.
Hold the pose for a few seconds.
Inhale, return the leg to the vertical position and resume
sarvangasana. Repeat on the other side.

Variation 2: Assume sarvangasana.
Exhale, bend the hips foiWard, and lower both the straight
legs over the head until they are parallel to the floor.
Hold for a few seconds.
Inhale and raise the legs to the vertical position. Variation 3: Assume sarvangasana.
Inhale and bend the right knee. Place the right foot on the
left knee.
Exhale, bend the hips foiWard and place the right knee on
the forehead. The left leg should be horizontal to the
floor.
Retain the breath inside while holding this position.
Return to sarvangasana.
Repeat on the other side.",Intermediate
128,Padma Sarvangasana (shoulder stand lotus pose),"Assume satvangasana.
Fold the legs into padmasana in the final pose.","As for sarvangasana, except that free drainage of
blood from the legs is impeded; therefore, it is not effective
in the treatment of piles or varicose veins. However, this
asana gives an additional stretch and massage to the pelvic
region and internal organs. It strengthens and coordinates
the leg muscles and improves the sense of balance.","This asana is for a strong and healthy
body only. Those who suffer from sciatica or weak or injured
knees, enlarged thyroid, liver or spleen, cervical spondylitis,
slipped disc, high blood pressure or other heart ailments,
weak blood vessels in the eyes, thrombosis or impure blood
should not practise it. It should be avoided during
menstruation and pregnancy. This asana should not be
attempted until padmasana and sarvangasana have both
been mastered.","Breathe normally while relaxing, then inhale deeply
and retain the breath while raising the legs and coming
into satvangasana.
Practise normal breathing in the final pose, then inhale
and retain the breath while releasing back to the floor.","Physical - on the legs, spine and neck, on control
of the movement, and on the breath.
Spiritual - on vishuddhi chakra.",,,,,Intermediate
129,Poorwa Halasana (preliminary plough pose),"Lie on the back with the legs and feet together.
Place the arms close to the body, either with the palms of
the hands facing down or with the hands made into fists
and placed under the buttocks.
This is the starting position.
Raise both the legs to the vertical position.
The buttocks should rest on the floor or on the fists.
Bring the feet towards the head, making a 45 degree angle
between the legs and torso.
Separate the legs as far as is comfortable and then bring
them together again.
Slowly lower the legs to the floor, keeping them straight.
This is one round. Practise 5 to 1 0 rounds.","It stretches the pelvis, regulates the kidneys, activates
the intestines and removes excess weight. It is a good
preparatory pose before attempting halasana.","This asana should not be practised by
those who are old or infirm, suffering from hernia, sciatica
or slipped disc.","Inhale in the starting position.
Retain the breath inside while raising, separating, bringing
together and lowering the legs.
Exhale after returning to the starting position.","Physical - on the controlled movement with the
breath or on the thyroid gland.
Spiritual - on manipura or vishuddhi chakra.",,,,,Intermediate
130,Halasana (plough pose),"Lie flat on the back with the legs and feet together. Place
the arms beside the body with the palms facing down.
Relax the whole body.
Raise both legs to the vertical position, keeping them
straight and together, using only the abdominal muscles.
Press down on the arms and lift the buttocks, rolling the
back away from the floor. Lower the legs over the head.
Bring the toes towards the floor behind the head without
straining, but do not force the toes to touch the floor.
Turn the palms up, bend the elbows and place the hands
behind the ribcage to support the back, as in sarvangasana.
Relax and hold the final pose for as long as is comfortable.
Return to the starting position by lowering the arms with
the palms facing down, then gradually lower each vertebrae
of the spine to the floor, followed by the buttocks, so that the legs resume their initial vertical position.
Using the abdominal muscles, lower the legs to the starting
position, keeping the knees straight.","The movement of the diaphragm which takes place
during the practice of halasana massages all the internal
organs, activates the digestion, relieving constipation and
dyspepsia, revitalizes the spleen and the suprarenal glands,
promotes the production of insulin by the pancreas and
improves liver and kidney function. It strengthens the
abdominal muscles, relieves spasms in the back muscles,","This asana should not be practised by
those who suffer from hernia, slipped disc, sciatica, high
blood pressure or any serious back problem, especially
arthritis of the neck.","Inhale while in the lying position.
Retain the breath inside while assuming the final pose.
Breathe slowly and deeply in the final pose.
Retain the breath inside while returning to the starting
position.","Physical - on the abdomen, relaxation of the back
muscles and neck, the respiration, or the thyroid.
Spiritual - on manipura or vishuddhi chakra.",,,,,Intermediate
131,Druta Halasana (dynamic plough pose),"Lie flat on the back with the legs and feet together.
Place the arms close to the body with the palms facing
down. Relax the whole body.
Press down on the arms. Rapidly roll the legs over the
head, keeping the legs straight, and touch the floor behind
the head with the toes.
Hold the position for 1 or 2 seconds.
Roll the body rapidly back to the starting position.
Immediately sit up and bend the body fotward into
paschimottanasana. Keep the legs straight and bring the
knees towards the forehead, hold the toes, feet or lower
legs. The practice should be petformed with an even flowing
movement.
Resume the seated position. This completes 1 round.
Practise up to 10 rounds.","This practice has the benefits of both halasana and

paschimottanasana. It strengthens the back and abdomin-
al muscles, activates intestinal peristalsis, improving diges-
tion and removing constipation. It facilitates the break-
down of fats by exercising the liver and gall bladder, and

stretches the pelvic region.","Druta halasana should not be practised

by people with hernia, sciatica or other back or neck ail-
ments, or by those with high blood pressure or heart

ailments.","Inhale and exhale deeply in the lying position
before starting. Inhaling roll backwards into halasana.
Exhale coming fotward into paschimottanasana.","Physical - on the stretch in the back and com-
pression of the abdomen, and on the flow of the movement

with the breath.
Spiritual - on manipura chakra.",,,,,Intermediate
132,Ardha Padma Halasana (half lotus plough pose),"Sit with the legs outstretched and the feet together.
Bend the left leg and place the foot on top of the right
thigh in the half lotus position. Place the arms close to the
body with the palms facing down.
Press down with the hands and roll backward.
Move the straight leg over the head and touch the ground
with the toes.Roll back to the upright position and, without breaking
the movement or straining, bend fotward from the hips,
bringing the head towards the knee and holding the toes
of the outstretched leg.
Resume the upright position.
Repeat with the right leg folded in ardha padmasana.
Practise up to 5 times with each leg folded.","It strengthens the back and abdomin-
al muscles, activates intestinal peristalsis, improving diges-
tion and removing constipation. It facilitates the break-
down of fats by exercising the liver and gall bladder, and

stretches the pelvic region.","People
with knee problems should refrain from this practice.people with hernia, sciatica or other back or neck ail-
ments, or by those with high blood pressure or heart
ailments.","Inhale and exhale deeply in the lying position
before starting. Inhaling roll backwards into halasana.
Exhale coming fotward into paschimottanasana.","Physical - on the stretch in the back and com-
pression of the abdomen, and on the flow of the movement

with the breath.
Spiritual - on manipura chakra.",,,,,Intermediate
133,Stambhan Asana (posture of retention),"This asana requires the participation of two people of similar
height and build.
Lie on the back with the crown of the head touching that of
the other person.
The arms should rest beside the body with the legs and
feet together.
The two bodies should be in a single, straight line.
Stretch the arms out to the sides at shoulder level and take
hold of each other's hands.
Tense the arms and keep them flat on the floor with the
elbows straight throughout the practice.
The tops of the heads must press against each other.
This is the starting position.Partner one should raise the legs, keeping them together,
until they are perpendicular to the floor.
Hold this position for a few seconds.
Lower the legs to the floor.
Again the same partner should raise both legs and buttocks
from the floor and lower the legs into a horizontal position
over the partner so the toes are above the partner's navel.
Hold the position for a few seconds, then slowly lower the
legs and buttocks to the floor, resuming the starting
position.
Partner two then performs the practice in the same way.
Each partner should practise up to 5 times.","It strengthens the back and abdomin-
al muscles, activates intestinal peristalsis, improving diges-
tion and removing constipation. It facilitates the break-
down of fats by exercising the liver and gall bladder, and
stretches the pelvic region.","People
with knee problems should refrain from this practice.people with hernia, sciatica or other back or neck ail-
ments, or by those with high blood pressure or heart
ailments.","Inhale and exhale deeply while in the starting
position.
Retain the breath outside while raising, holding and
lowering the legs.
Inhale while returning to the starting position.","Physical - on synchronizing the movement and
the breath with the partner.
Spiritual - on manipura chakra.",,,,,Intermediate
134,Sirshasana (headstand pose),"Stage I : Sit in vajrasana.
Close the eyes and relax the whole body.

SIRSHASANA

After a few minutes, open the eyes, bend fotward and
place the forearms on a folded blanket with the fingers
interlocked and the elbows in front of the knees.
The distance between the elbows should be equal to the
distance from each elbow to the interlocked fingers,
forming an equilateral triangle.
Place the crown of the head on the blanket between the
interlocked fingers. Wrap the hands around the head to
make a firm support so that it cannot roll backward when
pressure is applied.
Stage 2: Lift the knees and buttocks off the floor and straighten
the legs. Stage 3: Slowly walk the feet as close as possible towards the
trunk and head, gradually moving the back towards the
vertical position.
Bend the knees slightly, press the thighs against the
abdomen and lower chest.
Transfer the body weight slowly from the toes onto the
head and arms, maintaining a steady balance.
Raise one foot off the floor about 20 em, carefully balance,
then raise the other foot and balance on the head and
arms.
Stage 4: Bending the knees, gradually raise the lower legs in a

controlled movement. Adjust the trunk slightly to counter-
balance the weight of the legs.

Fold the legs back so the heels move towards the buttocks.
To accomplish this movement contract the muscles of the
lower back. The knees are now pointing down with the legs
together.
Maintain the position for a few seconds, being aware of
complete balance before proceeding. Stage 5: Raise the knees to the vertical position. Keeping the
heels near the buttocks, slowly straighten the hips so that
the thighs move up and away from the torso.
Raise the knees until they point directly upward and the
thighs are in line with the trunk.
Balance the body.
Stage 6: Slowly straighten the knees and raise the lower legs.
The whole body should be in one straight line with the feet
relaxed.

·
This is the final position.
Close the eyes and balance the whole body, relaxing in the
final position for as long as is comfortable.
Stage 7: Return to the starting position.
Slowly bend the knees and lower the body with control, in
the reverse order, until the toes touch the floor. Remain
with the head on the ground in the kneeling position for a
short time, then slowly return to the upright position. ","This asana is very powerful for awakening sahasrara
chakra and therefore it is considered the greatest of all
asanas.
Sirshasana revitalizes the entire body and mind. It relieves
anxiety and other psychological disturbances which form
the root cause of many disorders such as asthma, hay
fever, diabetes and menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorder, especially those related to the reproductive
system.
'This asana reverses the effect of gravity on the body. Strain
on the back is thus alleviated and the reversed flow of
blood in the legs and visceral regions aids tissue regen-
eration. The weight of the abdominal organs on the
diaphragm encourages deep exhalation so that larger
amounts of carbon dioxide are removed from the lungs.","Sirshasana should not be practised by
people with neck problems, headache or migraine, high
blood pressure, heart disease, thrombosis, arteriosclerosis,
chronic catarrh, chronic constipation, kidney problems,
impure blood, severe near-sightedness, weak blood vessels
in the eye, conjunctivitis, chronic glaucoma, inflammation
of the ears or any form of blood haemorrhage in the head.
It should not be practised during pregnancy or
menstruation,","When first learning sirshasana, one may practise
normal breathing while coming into the posture.
Othetwise, inhale at the end of stage 1, and retain the
breath inside while raising the body into the final position.
Breathe normally in the final position.
The breath should become increasingly subtle in this
posture as one becomes accustomed to it.","Physical - when first practising, on maintaining
the balance. For adepts, on the brain, on the centre of the
head or on the respiration.
Spiritual - on sahasrara chakra.",,,,,Intermediate
135,"Salamba Sirshasana (supported
headstand pose)","Place the crown of the head
on the blanket between the
hands.

Move the hands back to-
wards each side of the knees

and adjust the position so
that the hands form the
corners of an equilateral
triangle with the head. The
forearms should be vertical
and the elbows bent.
Lift the knees from the floor,
straightening the legs and
raising the buttocks.
Walk the feet foiWard until
the thighs are near the chest

and the back is almost vertical.
Slowly raise one foot off the floor, balance and then raise
the other foot.
Utilising the arms for support, raise the legs and straighten
the knees so that the body is fully erect (see stages 4, 5,
and 6 of sirshasana).
Keep the spine and legs in a single vertical line.
This is the final position.
Hold the pose for as long as is comfortable.
Return to the starting position. Slowly refold the legs and
lower the body with control, in the reverse order, until the
toes touch the ground.
Remain in the kneeling position with the head on the floor
for a short time.
Slowly return to the upright position.","This asana is very powerful for awakening sahasrara
chakra and therefore it is considered the greatest of all
asanas.
Sirshasana revitalizes the entire body and mind. It relieves
anxiety and other psychological disturbances which form
the root cause of many disorders such as asthma, hay
fever, diabetes and menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorder, especially those related to the reproductive
system.
'This asana reverses the effect of gravity on the body. Strain
on the back is thus alleviated and the reversed flow of
blood in the legs and visceral regions aids tissue regen-
eration. The weight of the abdominal organs on the
diaphragm encourages deep exhalation so that larger
amounts of carbon dioxide are removed from the lungs.","Sirshasana should not be practised by
people with neck problems, headache or migraine, high
blood pressure, heart disease, thrombosis, arteriosclerosis,
chronic catarrh, chronic constipation, kidney problems,
impure blood, severe near-sightedness, weak blood vessels
in the eye, conjunctivitis, chronic glaucoma, inflammation
of the ears or any form of blood haemorrhage in the head.
It should not be practised during pregnancy or
menstruation,","Retain the breath inside while assuming the final
position. Breathe normally in the final position.
Retain the breath inside while lowering the body.","Physical - when first practising, on maintaining
the balance. For adepts, on the brain, on the centre of the
head or on the respiration.
Spiritual - on sahasrara chakra.",,,,,Intermediate
136,Niralamba Sirshasana (unsupported headstand pose),"Place the crown of the head on the blanket between the
hands.
Straighten the arms in front of the chest and place the
hands flat on the floor about shoulder width apart.
Straighten the legs, allowing the weight of the body to be
supported by the hands, feet and head. Progressively walk the feet towards the head, keeping
the legs straight, until the trunk is vertical.
Applying pressure on the hands, slowly bend the legs and
raise the feet off the floor, bringing the knees to the chest.Slowly raise the knees until they point upward.
Maintain balance in this position for a few moments.
Gradually straighten the knees until the feet point upwards
in a relaxed position.
In the final pose the whole body is vertical and, ideally, all
the height of the body is supported by the head.
The hands should only provide balance.
Hold the final pose for as long as is comfortable.Return to the starting position.
Lower the body in the reverse order until the feet touch
the floor.
Place the hands beside the head and bend the knees to the
floor.
Relax with the head on the floor for a short time.","This asana is very powerful for awakening sahasrara
chakra and therefore it is considered the greatest of all
asanas.
Sirshasana revitalizes the entire body and mind. It relieves
anxiety and other psychological disturbances which form
the root cause of many disorders such as asthma, hay
fever, diabetes and menopausal imbalance.
It also helps to rectify many forms of nervous and glandular disorder, especially those related to the reproductive
system.
'This asana reverses the effect of gravity on the body. Strain
on the back is thus alleviated and the reversed flow of
blood in the legs and visceral regions aids tissue regen-
eration. The weight of the abdominal organs on the
diaphragm encourages deep exhalation so that larger
amounts of carbon dioxide are removed from the lungs.","Sirshasana should not be practised by
people with neck problems, headache or migraine, high
blood pressure, heart disease, thrombosis, arteriosclerosis,
chronic catarrh, chronic constipation, kidney problems,
impure blood, severe near-sightedness, weak blood vessels
in the eye, conjunctivitis, chronic glaucoma, inflammation
of the ears or any form of blood haemorrhage in the head.
It should not be practised during pregnancy or
menstruation,","Retain the breath inside while assuming the final
position. Breathe normally in the final position.
Retain the breath inside while lowering the body.","Physical - when first practising, on maintaining
the balance. For adepts, on the brain, on the centre of the
head or on the respiration.
Spiritual - on sahasrara chakra.",,,,,Intermediate
